"bid","beer_name","beer_abv","beer_ibu","beer_slug","beer_style","rating_score","rating_count","auth_rating"
"99128","Hoplanta","6,8","61","red-brick-brewing-co-hoplanta","IPA - American","3.52618","26410",
"252305","Ram?e Blanche","5","0","brouwerij-palm-ramee-blanche","Witbier","3.30353","1429",
"570108","Dark Sister","6,66","45","brussels-beer-project-dark-sister","IPA - Black / Cascadian Dark Ale","3.69229","9907",
"1804392","Stereo Lips","6,2","52","brussels-beer-project-stereo-lips","Rye IPA","3.53758","998",
"2088965","#EXP0025","8","25","brussels-beer-project-exp0025","Stout - Imperial / Double","3.72427","447",
"2236346","#EXP0037","4","41","brussels-beer-project-exp0037","IPA - Black / Cascadian Dark Ale","3.30177","198",
"212","Stouterik","4,5","0","brasserie-de-la-senne-stouterik","Stout - Irish Dry","3.38558","9983",
"2140447","Ape","5,3","42","monkey-monk-ape","Pale Ale - American","3.68182","33",
"12325","Noir de Dottignies","8,5","46","brouwerij-de-ranke-noir-de-dottignies","Belgian Strong Dark Ale","3.74298","10536",
"1636137","Damme Nation","7","62","siphon-brewing-damme-nation","IPA - American","3.601","901",
"713509","Poperings Hommelbier Dry Hopping","7,5","0","brouwerij-van-eecke-poperings-hommelbier-dry-hopping","IPA - Belgian","3.5463","1134",
"1280618","ForMi Diable","6,5","0","restobier-formi-diable","IPA - Triple","3.52917","60",
"756972","Unblended Oude Lambiek","7","0","brouwerij-boon-unblended-oude-lambiek","Lambic - Traditional","3.54139","1208",
"11978","Ram?e Tripel Blonde","7,5","0","brouwerij-palm-ramee-tripel-blonde","Belgian Tripel","3.47268","4100",
"437130","Alfoncine","8,5","0","brouwerij-strubbe-alfoncine","Belgian Strong Dark Ale","3.24261","575",
"1907981","Leffe Brune / Bruin (2017)","6,5","20","abbaye-de-leffe-leffe-brune-bruin-2017","Brown Ale - Belgian","3.55252","2556",
"1027000","Ram?e Blond","6,8","0","brouwerij-palm-ramee-blond","Blonde Ale - Belgian Blonde / Golden","3.41044","3294",
"1962345","Madahan Tropical Milk Ipa","7","67","birra-amiata-madahan-tropical-milk-ipa","IPA - International","3.37246","1035",
"13961","Old Numbskull","11","54","alesmith-brewing-company-old-numbskull","Barleywine - American","3.9274","20949",
"2259200","Kojamo","6,7","0","sonnisaari-kojamo","Smoked Beer","3.51523","197",
"86870","Kuohu Vaalea Lager","4,7","0","mallaskosken-panimo-kuohu-vaalea-lager-taysmallasolut","Lager - Euro","2.83333","54",
"1562649","Midsummer Melancholy","11","30","sori-brewing-midsummer-melancholy","Porter - Baltic","4.17554","1840",
"1676699","Soulmate","5,5","24","sori-brewing-soulmate","Saison / Farmhouse Ale","3.43508","724",
"1785504","Dog Sled Fuel","8,8","68","sori-brewing-dog-sled-fuel","Red Ale - Imperial / Double","3.54423","1187",
"1091607","Coffee Gorilla","7","45","sori-brewing-coffee-gorilla","Porter - Baltic","3.6847","3354",
"2068475","Eka Kerta","4,5","11","sideshow-brewery-brewcats-eka-kerta","Sour - Berliner Weisse","3.41987","677",
"2026780","Hardly Working","4,7","29","sori-brewing-hardly-working","Pilsner - Other","3.44818","661",
"2281699","#bonuskalja2","0,07","0","brewtacon-olutions-bonuskalja2","Other","0","3",
"2281700","Beer","5,5","45","brewtacon-olutions-beer","Pale Ale - American","0","7",
"120946","Hipster Ale","5,5","60","evil-twin-brewing-hipster-ale","Pale Ale - American","3.48977","42768",
"491750","Marsalkka Vahva Luomu","8,2","34","saimaan-juomatehdas-marsalkka-vahva-luomu","Lager - Euro Strong","2.94966","437",
"1726888","Pyynikin Cloudberry Saison","4,7","0","pyynikin-kasityolaispanimo-pyynikin-cloudberry-saison","Saison / Farmhouse Ale","3.06871","2587",
"221137","Zubr Classic","4,1","0","pivovar-zubr-zubr-classic","Pilsner - Czech","2.88128","895",
"1219732","Orange Wood","4,5","0","cervesa-guineu-orange-wood","Pale Ale - American","3.47711","699",
"8020","Asahi Super Dry","5","16","asahi-breweries-asahi-super-dry","Lager - Japanese Rice","3.06711","144261",
"2210427","Silly Goose","6,5","0","hiisi-silly-goose","Sour - Farmhouse IPA","3.37438","406",
"1257","Stone Smoked Porter","5,9","53","stone-brewing-stone-smoked-porter","Smoked Beer","3.69088","53209",
"454190","7 Hop IPA","7,77","76","rogue-ales-spirits-7-hop-ipa","IPA - Imperial / Double","3.90242","105602",
"1480716","Ikaalinen Lager","4,7","35","mallaskosken-panimo-ikaalinen-lager","Pilsner - Other","2.67553","47",
"1690371","Vapaa Sessio IPA","4,7","0","pyynikin-kasityolaispanimo-vapaa-sessio-ipa","IPA - Session / India Session Ale","3.08814","590",
"7097","Baltika #7 Export","5,4","0","baltika-breweries-baltika-baltika-7-export","Lager - Dortmunder / Export","3.05226","19734",
"663352","Aldersbacher Kloster Dunkel","5,3","0","brauerei-aldersbach-aldersbacher-kloster-dunkel","Lager - Dunkel Munich","3.39173","979",
"2145479","Mortonki","4,7","0","pyynikin-kasityolaispanimo-mortonki","Pilsner - German","2.77414","290",
"1634939","?k?sen Eukon Hieno Lagerolut","4,1","0","panimo-honkavuori-akasen-eukon-hieno-lagerolut","Lager - Euro","2.84467","713",
"2084605","Skinny Legged Sun Burned Freckle Faced White Boy Wheat IPA","5,6","55","the-flying-dutchman-nomad-brewing-company-skinny-legged-sun-burned-freckle-faced-white-boy-wheat-ipa","IPA - White","3.22965","1290",
"1484062","Pogo","4,1","0","the-wild-beer-co-pogo","Pale Ale - American","3.67865","10963",
"1994507","High Hopes","4,7","30","mallaskoski-brewery-high-hopes","Pale Ale - International","3.26195","1046",
"1827634","Honkavuoren Y?","4,5","0","panimo-honkavuori-honkavuoren-yo","Stout - Oatmeal","2.972","500",
"1825778","Session IPA Cascade","4,5","0","mikkeller-session-ipa-cascade","IPA - Session / India Session Ale","3.53291","1284",
"833","Yeti","9,5","75","great-divide-brewing-company-yeti","Stout - American Imperial / Double","3.94529","108615",
"523469","Hop Ranch","9","80","victory-brewing-company-hop-ranch","IPA - Imperial / Double","3.91473","59684",
"1763778","Red Alert","4,4","44","sori-brewing-red-alert","IPA - Red","3.42197","2214",
"1029099","Black Hop Sun","7","90","birrificio-della-granda-black-hop-sun","IPA - Black / Cascadian Dark Ale","3.68307","508",
"381276","XTRA-IPA","7","0","birrificio-della-granda-xtra-ipa","IPA - American","3.73834","643",
"1379870","Go West! IPA","6,7","75","anchor-brewing-company-go-west-ipa","IPA - American","3.5798","44954",
"2177539","I Hop It's Not A Problem #3","6,2","40","donut-island-brewing-i-hop-it-s-not-a-problem-3","IPA - New England","3.78936","705",
"1045048","Kaislan Porilainen","5,5","0","panimoravintola-beer-hunter-s-kaislan-porilainen","IPA - American","3.39306","1038",
"1483003","Dainty Daisy","4,5","55","hopping-brewsters-beer-company-dainty-daisy","IPA - Session / India Session Ale","3.14441","1262",
"416397","Naranjito","4,5","35","brooklyn-brewery-naranjito","Pale Ale - American","3.32322","14825",
"1326000","Hecla Iron Ale","3,4","35","brooklyn-brewery-hecla-iron-ale","Dark Ale","2.85863","5100",
"1990444","Kukko Bitter","4,2","29","laitilan-wirvoitusjuomatehdas-kukko-bitter","English Bitter","2.91279","860",
"10722","Trappistes Rochefort 6","7,5","35","abbaye-notre-dame-de-saint-remy-trappistes-rochefort-6","Belgian Dubbel","3.79237","52044",
"2178077","Summer Helles Pils","5,2","0","stallhagen-summer-helles-pils","Pilsner - Other","2.91695","289",
"10759","Dale's Pale Ale","6,5","65","oskar-blues-brewery-dale-s-pale-ale","Pale Ale - American","3.65976","244032",
"6511","Tripel Karmeliet","8,4","16","brouwerij-bosteels-tripel-karmeliet","Belgian Tripel","4.03494","179996",
"462734","Hop & Liefde / Pale Ale Citra","4,8","57","brouwerij-de-molen-hop-and-liefde-pale-ale-citra","Pale Ale - American","3.60325","31039",
"1647604","Oiva Nordic Cider Real Strawberry","4,7","0","laitilan-wirvoitusjuomatehdas-oiva-nordic-cider-real-strawberry","Cider","2.8913","23",
"2020486","Prykmestar Kardemumma Stout","5,6","35","vakka-suomen-panimo-osakeyhtio-prykmestar-kardemumma-stout","Stout - Other","3.10685","241",
"1497794","Paxton IPA","5,5","0","the-london-beer-factory-paxton-ipa","IPA - American","3.55883","1636",
"2140346","Harjun Kettu Red Wheat Ale","4,5","30","hiisi-harjun-kettu-red-wheat-ale","Pale Wheat Ale - American","3.21084","166",
"1950685","Lahden Erikois Pils","4,5","26","hartwall-lahden-erikois-pils","Pilsner - Other","2.56633","2695",
"1996341","Semi-Skimmed Occultist","8","70","brewdog-semi-skimmed-occultist","Stout - Oatmeal","3.81368","9873",
"2132519","Proto #14","5,2","15","malmgardin-panimo-proto-14","Witbier","3.28325","842",
"103773","Icelandic White Ale","5,2","0","einstok-olgerd-icelandic-white-ale","Witbier","3.72246","69315",
"383083","Melba","5,2","0","thornbridge-brewery-melba","IPA - English","3.52279","3532",
"5684","Imperial Russian Stout","10,6","60","stone-brewing-imperial-russian-stout","Stout - Russian Imperial","4.07941","24580",
"1853241","Laiskajaakko Dark Lager","4,5","0","teerenpeli-brewery-and-distillery-laiskajaakko-dark-lager","Lager - Dark","3.25243","103",
"1990507","Keisari 25","4,3","0","nokian-panimo-keisari-25","Ginger Beer","2.24502","1908",
"1961196","M?ly?ljy","10","0","sonnisaari-molyoljy","Stout - Imperial / Double","3.52215","158",
"2146972","HC Pils","5,8","0","sonnisaari-hc-pils","Pilsner - Czech","3.33477","174",
"2149179","Kuura Siideri 2016","5,5","0","kuura-cider-kuura-siideri-2016","Cider","3.15909","55",
"1528856","Tippa","8,2","0","sonnisaari-tippa","IPA - Imperial / Double","3.65145","482",
"1913774","Kuula","7","79","sonnisaari-kuula","Lager - IPL (India Pale Lager)","3.42429","601",
"1636041","Portieeri","6","0","maistila-portieeri","Porter - Other","3.48311","444",
"2146997","Tumma Tamma","5,6","0","maistila-tumma-tamma","Sour - Farmhouse IPA","2.81884","69",
"2147064","Hobsession","5,2","0","maistila-hobsession","IPA - Session / India Session Ale","3.49311","399",
"1392053","Moood","5,8","0","maistila-moood","Stout - Milk / Sweet","3.65866","906",
"1242446","Optimisti","5,8","0","maistila-optimisti","Pale Ale - American","3.5333","548",
"1663184","Det Var Det","5,2","0","maistila-det-var-det","Witbier","3.44484","494",
"1479751","Musta Jaska","8,2","0","maistila-musta-jaska","Stout - Imperial / Double","3.73002","438",
"2146993","Peri","6","40","hiisi-peri","Lager - IPL (India Pale Lager)","3.31778","734",
"1571003","Pimeyden Morsian","8","29","iso-kallan-panimo-pimeyden-morsian","Stout - Imperial / Double","3.66297","856",
"2050813","Kaksteistkuud 2017","8,8","90","tanker-brewery-kaksteistkuud-2017","IPA - Imperial / Double","3.67723","292",
"2026794","Taiga","6,6","31","panimo-honkavuori-taiga","Porter - Other","3.39286","280",
"2065285","Don of Wasteland","5,5","31","radbrew-don-of-wasteland","Saison / Farmhouse Ale","3.28143","509",
"1493506","Ketser","7","0","tanker-brewery-ketser","Sour - Flanders Red Ale","3.51947","1477",
"2103913","Orwellian Nightmare (2017)","10","50","orava-brewing-orwellian-nightmare-2017","Stout - Imperial / Double","3.83385","486",
"2109801","Voodoo IPA","7","0","iso-kallan-panimo-voodoo-ipa","IPA - American","3.26485","202",
"1572260","Mufloni Barley Wine","9","0","panimoravintola-beer-hunter-s-mufloni-barley-wine","Barleywine - American","3.57106","292",
"688488","Mufloni Hyppy IPA","2,8","45","panimoravintola-beer-hunter-s-mufloni-hyppy-ipa","Other","3.17532","154",
"1877399","Kaski Pils","4,6","0","takatalo-and-tompuri-kaski-pils","Pilsner - Other","3.14628","752",
"1449898","Kukko Helles","4,7","26","laitilan-wirvoitusjuomatehdas-kukko-helles","Lager - Helles","2.80612","2606",
"2138743","?mb?r Eil","5,7","48","nk2-ambar-eil","Red Ale - American Amber / Red","0","3",
"2005554","Lapin Kulta Pure","4,5","0","hartwall-lapin-kulta-pure","Lager - Euro","2.28388","1188",
"1997951","Kakolan Kalpea","4,7","50","laitilan-wirvoitusjuomatehdas-kakolan-kalpea","Pale Ale - American","3.08033","2384",
"1081495","Norrby Dunkel","6,3","0","metsamees-ou-norrby-dunkel","Lager - Dunkel Munich","3.09703","858",
"1512388","Stone Tangerine Express IPA","6,7","75","stone-brewing-stone-tangerine-express-ipa","IPA - American","3.78554","63161",
"1922230","Karhu Raaka","4,6","22","sinebrychoff-karhu-raaka","Lager - Euro","2.641","1773",
"13845","Halcyon","7,4","70","thornbridge-brewery-halcyon","IPA - Imperial / Double","3.81436","14904",
"1845246","Sauvinova","4,7","34","tuatara-brewery-sauvinova","Pale Ale - New Zealand","3.73721","9678",
"1968430","Little Bastard Ale","4,7","0","arrogant-brewing-berlin-little-bastard-ale","Red Ale - American Amber / Red","3.21738","7810",
"2065510","Kemut Cascade Pils","4,5","30","hiisi-kemut-cascade-pils","Pilsner - Other","2.90876","348",
"1285119","Frisco Disco","6,2","70","donut-island-brewing-frisco-disco","IPA - American","3.56716","1824",
"294267","Medium Cider","6","0","henney-s-medium-cider","Cider","3.47327","318",
"1188912","XV","11","100","tuatara-brewery-xv","Stout - Russian Imperial","4.13644","874",
"2031957","Born To Die 13.05.2017","8,5","135","brewdog-born-to-die-13-05-2017","IPA - Imperial / Double","4.01224","3002",
"309362","??","10,5","60","pohjala-oo","Porter - Baltic","3.9804","13138",
"1936067","Twisted Mango IPA","5,1","0","belhaven-brewery-twisted-mango-ipa","IPA - International","3.40369","1207",
"1374790","67 Minutes IPA","6","0","koskipanimo-67-minutes-ipa","IPA - American","3.41181","1253",
"1836328","Teerenpelin Suomi 100 Juhlaolut","5","0","panimo-and-tislaamo-teerenpeli-teerenpelin-suomi-100-juhlaolut","Rauchbier","3.09728","1637",
"2028508","Savanni Samu","4,5","0","panimo-and-tislaamo-teerenpeli-savanni-samu","Fruit Beer","2.93257","1090",
"1866133","Kaski Kauraporter","4,6","0","takatalo-and-tompuri-kaski-kauraporter","Porter - Other","3.02823","620",
"1334880","Pale Ale Equinox Cascade","3,5","50","laitilan-wirvoitusjuomatehdas-pale-ale-equinox-cascade","Pale Ale - American","2.84009","2048",
"1719226","Tough Luck India Pale Ale","4,7","70","mallaskoski-brewery-tough-luck-india-pale-ale","IPA - Session / India Session Ale","3.14379","2481",
"1991137","Lempo","2,8","12","hiisi-lempo","Sour - Gose","2.84565","609",
"1940490","Sylvester Stoutlone (Rocky Road Stout)","9","60","brewtacon-olutions-sylvester-stoutlone-rocky-road-stout","Stout - Imperial / Double","0","6",
"177342","Naked Apple","4,5","0","kopparbergs-bryggeri-naked-apple","Cider","3.20485","2060",
"2020651","Varasto Olutta","4,4","0","sinebrychoff-varasto-olutta","Lager - Euro","2.22593","1475",
"5431","Colette Farmhouse Ale","7,3","35","great-divide-brewing-company-colette-farmhouse-ale","Saison / Farmhouse Ale","3.6089","63949",
"1770068","21st Birthday IPA","6,1","80","victory-brewing-company-21st-birthday-ipa","IPA - American","3.64396","21482",
"1127525","Maailmojen Sota","5,7","40","hiisi-maailmojen-sota","Pale Wheat Ale - American","3.44107","420",
"1822321","Karpalo Stout Talviolut","6","25","eiran-juomat-karpalo-stout-talviolut","Stout - Other","2.88697","449",
"1941235","Born To Die 17.03.2017","9,5","100","brewdog-born-to-die-17-03-2017","IPA - Imperial / Double","4.01411","2710",
"148026","Bran?k Le??k","5","0","pivovary-staropramen-branik-lezak","Pilsner - Czech","3.00776","709",
"29100","Bourbon Barrel-Aged Arrogant Bastard","8,1","100","arrogant-brewing-bourbon-barrel-aged-arrogant-bastard","Strong Ale - American","3.87324","59563",
"1797729","Bourbon Coffee Broken Dream","6,5","0","siren-craft-brew-bourbon-coffee-broken-dream","Stout - American","4.00592","1816",
"1237355","Kingpin","4,7","20","brewdog-kingpin","Pilsner - German","3.29335","20295",
"1863484","Rye Hammer","7,2","250","brewdog-rye-hammer","Rye IPA","3.74907","8368",
"845276","Pajavasara","8,8","0","pyynikin-kasityolaispanimo-pajavasara","Porter - Imperial / Double","3.72949","646",
"1999836","Lada Samara","0","38","nk2-lada-samara","Pale Ale - International","0","3",
"1170883","Kekkonen Suomi Finland Ensimm?iset 100v","4,2","20","saimaan-juomatehdas-kekkonen-suomi-finland-ensimmaiset-100v","Lager - Amber","2.70246","1546",
"84762","The Taste of Manchester","4,2","0","saku-olletehase-carlsberg-group-saku-manchester","Lager - Vienna","3.03089","1384",
"374584","Frontier","4,5","0","fuller-smith-turner-frontier","Lager - Pale","3.33033","18036",
"59031","Seth Lager","4,7","0","suomenlinnan-panimo-seth-lager","Lager - North American Adjunct","3.16637","1106",
"1915380","Kev?t","5,5","0","mathildedalin-kylapanimo-kevat","Saison / Farmhouse Ale","3.25387","646",
"1596684","Unto Porter","7,1","30","kanavan-panimo-unto-porter","Porter - English","3.43819","360",
"1040740","Saison","6","24","maku-brewing-saison","Saison / Farmhouse Ale","3.32567","1761",
"30854","Dominator","8,5","47","o-so-brewing-company-dominator","Doppelbock ","3.7431","1884",
"1170613","Black IPA","6,1","80","maku-brewing-black-ipa","IPA - Black / Cascadian Dark Ale","3.44686","1228",
"1939809","Prykmestar Saazer Pils","5,7","37","vakka-suomen-panimo-osakeyhtio-prykmestar-saazer-pils","Pilsner - Czech","3.41212","788",
"1808581","Hiiepuu","6,9","10","hiisi-hiiepuu","Gruit / Ancient Herbed Ale","3.23129","481",
"1441008","Elvis Juice","6,5","40","brewdog-elvis-juice","IPA - American","3.84371","74897",
"164769","Dead Pony Club","3,8","25","brewdog-dead-pony-club","Pale Ale - American","3.59762","100259",
"1940451","Amarillo Tripel","9","35","malmgardin-panimo-amarillo-tripel","Belgian Tripel","3.49879","620",
"1939855","Komissaari","8,5","56","ruosniemen-panimo-komissaari","Belgian Tripel","3.11932","572",
"1266007","Kaira","6,3","0","maistila-kaira","IPA - American","3.6779","1224",
"1782975","Polar Monkeys Chair Man IPA","6","45","hartwall-polar-monkeys-chair-man-ipa","IPA - American","3.18624","2439",
"614597","Valravn","8,8","0","thornbridge-brewery-valravn","IPA - Imperial / Double Black","3.78716","3021",
"1926558","Pirunpelto","6,5","25","hiisi-pirunpelto","Bock","3.375","752",
"1792613","Sugu Porter","6","0","koskipanimo-sugu-porter","Porter - Other","3.3714","867",
"104140","Wild Boar","5,7","0","buxton-brewery-wild-boar","IPA - English","3.59321","8666",
"1719228","Last Laugh Amber Lager","4,7","32","mallaskoski-brewery-last-laugh-amber-lager","Lager - American Amber / Red","2.94766","2202",
"129531","Imperial Biscotti Break","11,5","66","evil-twin-brewing-imperial-biscotti-break","Stout - American Imperial / Double","4.13526","79920",
"1828239","KASKI KYLM?SAVULAGER","4,6","0","takatalo-and-tompuri-kaski-kylmasavulager","Lager - Euro","3.20815","1338",
"1785499","Vanilla Cake Fever","9,9","0","sori-brewing-vanilla-cake-fever","Porter - Baltic","3.82498","2404",
"1845844","Norppa Suklaaporter","4,2","20","hiisi-norppa-suklaaporter","Porter - English","3.10453","287",
"1940491","#bonuskalja","0,07","0","brewtacon-olutions-bonuskalja","Other","0","4",
"1785513","Dark Humor Club Hot Chocolate","10,2","42","sori-brewing-dark-humor-club-hot-chocolate","Stout - Imperial / Double","3.87043","2325",
"1769906","Nuts Freezing Frost Biting Tongue On Frozen Pole Winter IPA","6","70","the-flying-dutchman-nomad-brewing-company-nuts-freezing-frost-biting-tongue-on-frozen-pole-winter-ipa","IPA - American","3.57315","1473",
"1549193","Ace of Chinook","4,5","40","brewdog-ace-of-chinook","IPA - Session / India Session Ale","3.65664","9196",
"818292","Skal?k sv?tl? pivo","4,7","0","rohozec-skalak-svetle-pivo","Pilsner - Czech","2.91667","948",
"953773","Black IPA","6,5","49","mallaskoski-brewery-black-ipa","IPA - Black / Cascadian Dark Ale","3.34375","3352",
"1134931","Nitro IPA","5,8","44","guinness-nitro-ipa","IPA - English","3.0561","88321",
"1828015","Command & Conquer","9","0","hiisi-command-and-conquer","Stout - Imperial / Double","3.54299","157",
"71288","Wet Dream","6","40","evil-twin-brewing-wet-dream","Brown Ale - American","3.6048","16384",
"18923","American Pale Ale","4,5","35","stadin-panimo-stadin-american-pale-ale","Pale Ale - American","3.42325","3417",
"1717149","Turisti","4,7","0","ruosniemen-panimo-turisti","Pale Ale - American","3.09978","1859",
"1285532","R?d Jul 2015","8","50","nogne-o-rod-jul-2015","Red Ale - Imperial / Double","3.59107","4933",
"1795456","J?ulu??","8","40","pohjala-jouluoo","Porter - Imperial / Double","3.93291","3898",
"1093876","Kaksi Kotia Ruusuhippi","6,3","0","rekolan-panimo-kaksi-kotia-ruusuhippi","Belgian Strong Golden Ale","2.93504","508",
"1166171","South Pacific Lager","4,5","30","stadin-panimo-south-pacific-lager","Lager - Euro","3.16367","1196",
"1812708","Golden Naked Christmas Ale (2016)","7,5","0","jacobsen-golden-naked-christmas-ale-2016","Winter Ale","3.63499","413",
"1835158","Bryggeri Vuosisata","10","25","bryggeri-helsinki-bryggeri-vuosisata","Doppelbock ","3.30562","827",
"510866","Mufloni Talviporter","6","0","panimoravintola-beer-hunter-s-mufloni-talviporter","Porter - Other","3.31242","1514",
"95254","Warsteiner Premium Fresh Alcoholfree","0","16","warsteiner-gruppe-warsteiner-premium-fresh-alcoholfree","Non-Alcoholic","2.37826","3955",
"1343029","Milk Stout","4,8","30","brewdog-milk-stout","Stout - Milk / Sweet","3.79416","2706",
"1470981","Tuppence","7","0","stillwater-artisanal-tuppence","Porter - Other","3.63453","2007",
"566706","Anniversary Barley Wine Ale","10,4","72","uinta-brewing-company-anniversary-barley-wine-ale","Barleywine - American","3.6157","9291",
"1286689","Kneedeep Ale","6,2","70","hiisi-kneedeep-ale","IPA - American","3.70536","84",
"1695769","Lounaispuiston Kulkija","6,2","50","hiisi-lounaispuiston-kulkija","Pale Ale - International","3.52273","110",
"1562686","?r? Pale Ale","4,6","0","rousal-brygghus-oro-pale-ale","Pale Ale - International","3.19715","421",
"1460540","Kukko Schwarz","4,5","10","laitilan-wirvoitusjuomatehdas-kukko-schwarz","Schwarzbier","2.9071","1359",
"1374092","Polar Monkeys White Collar Golden Ale","5,5","23","polar-monkeys-polar-monkeys-white-collar-golden-ale","Golden Ale","2.89385","3396",
"1836288","Lorem Witsum (Raparperi Wit)","4,7","10","brewtacon-olutions-lorem-witsum-raparperi-wit","Witbier","0","3",
"1805688","Joulukinkku Portteri","4,5","25","stadin-panimo-joulukinkku-portteri","Porter - Other","2.79582","431",
"876934","Raskasta Joulua","4,5","0","vakka-suomen-panimo-osakeyhtio-raskasta-joulua","Lager - Winter","2.80085","939",
"1633603","Sverd i Fjell","10,5","0","lervig-sverd-i-fjell","IPA - Triple","3.98542","4870",
"12331","Golden Naked Christmas Ale","7,5","23","jacobsen-golden-naked-christmas-ale","Strong Ale - English","3.57501","9936",
"846096","Oatmeal Stout","5,4","33","iso-kallan-panimo-oatmeal-stout","Stout - Oatmeal","3.13489","556",
"845294","Winter In Bangalore","6","0","amager-bryghus-winter-in-bangalore","IPA - American","3.76052","4563",
"1337014","Tonttu","6","0","thornbridge-brewery-tonttu","Red Ale - American Amber / Red","3.56041","1283",
"1170596","Diplomi-insin??ri","8","107","ruosniemen-panimo-diplomi-insinoori","IPA - Imperial / Double","3.52336","1659",
"15929","India Pale Ale (IPA)","7,5","60","nogne-o-india-pale-ale-ipa","IPA - American","3.82941","24447",
"1694656","Twisted Grapefruit IPA","5,3","0","belhaven-brewery-twisted-grapefruit-ipa","IPA - American","3.41272","5488",
"1382984","Sunrice IPA","8,2","0","pyynikin-kasityolaispanimo-sunrice-ipa","IPA - Imperial / Double","3.49602","1132",
"1057046","Reaktor Hello World Session API IPA","4,7","45","monkey-monk-reaktor-hello-world-session-api-ipa","Pale Ale - American","3.35962","1008",
"1384337","Prykmestar Lakritsiporter","6","38","vakka-suomen-panimo-osakeyhtio-prykmestar-lakritsiporter","Porter - Baltic","3.21858","549",
"1726926","Chili Hammer","7,2","250","brewdog-chili-hammer","Spiced / Herbed Beer","3.5917","4992",
"1296","Blackfriar","7","0","inveralmond-brewery-blackfriar","Scotch Ale / Wee Heavy","3.50498","3365",
"673150","Virmalised","6,5","50","pohjala-virmalised","IPA - American","3.73822","16634",
"1701209","Brewer's Special California IPA","4,7","50","saimaan-juomatehdas-brewer-s-special-california-ipa","IPA - Session / India Session Ale","3.01775","2873",
"1170645","Brewer's Special Joker Hop Ale","4,7","30","saimaan-juomatehdas-brewer-s-special-joker-hop-ale","Pale Ale - American","2.95785","2058",
"755607","Life's a Beach","4,5","50","jopen-life-s-a-beach","IPA - Session / India Session Ale","3.4654","22044",
"493642","Jouluolut","4,3","0","pyynikin-kasityolaispanimo-jouluolut","Winter Ale","3.05423","1028",
"1696060","Oktoberrauch","5,5","22","mallaskoski-brewery-oktoberrauch","M?rzen","3.1353","789",
"1039052","Humlehaud","4,7","50","kinn-bryggeri-humlehaud","IPA - Session / India Session Ale","3.53521","8052",
